법인코드,법인명,업종,상장일자,주요품목
A001250,GS글로벌,무역회사와판매업체,19760626,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대"
A001260,남광토건,건설,19761228,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조"
A001270,부국증권,증권,19880719,"유가증권 매매,위탁매매,인수,주선"
A001290,골든브릿지증권,증권,19880923,유가증권 매매
A001340,백광산업,화학,19760610,"가성소다,합성염산 제조,판매"
A001360,삼성제약,제약,19750704,"의약품(까스명수,쓸기담,에프킬라에어졸,액체우황청심원) 제조,도매"
A001380,SG충방,자동차부품,19760629,"자동차시트커버(Seat Trim Cover), 면사, 면ㆍ혼방사 등의 제조 및 판매"
A001390,KG케미칼,화학,19890825,"복합비료,기타화학제품(황산가리,과석,용성인비,염산) 제조"
A001420,태원물산,자동차부품,19750624,"자동차부품,워터펌프,인산정제석고,건축자재(불연내장재), 제조,수출입"
A001430,세아베스틸,철강,19910312,"특수강,철도용품,자동차부품 제조,수출입"
A001440,대한전선,전기장비,19681227,"전력선,통신케이블,적산계기,스텐레스압연제품,광케이블,초고압선,알루미늄 제조,도매/전기공사"
A001450,현대해상,손해보험,19890825,손해보험(자동차보험)
A001460,BYC,"섬유,의류,신발,호화품",19750602,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
A001470,삼부토건,건설,19760626,"토목공사,건축공사,포장공사,건설업,분양사업/건설자재 제조"
A001500,HMC투자증권,증권,19900609,"유가증권의매매,위탁매매,유가증권의 중개,대리/부동산 임대"
A001510,SK증권,증권,19860920,"증권업,부동산 임대"
A001520,동양,건축자재,19760625,"시멘트,레미콘,비내화모르타르 제조/건축공사/상사,운송사업/고령도 판매/관광레저업"
A001530,동일방직,"섬유,의류,신발,호화품",19640104,"면사,화섬사,면포,혼방포,스포츠웨어용 신합섬 제조,도매,수출"
A001540,안국약품,제약,20000615,"그랑파제, 토비콤-S"
A001550,조비,화학,19761228,"복합비료(연초용,수도용,시판용,특수작물용),양액재배용 비료,완효성 비료,부직포 제조,무역"
A001560,제일연마,비철금속,20051209,"연마석,다이아몬드공구 제조,도소매/주택건설"
A001570,금양,화학,19761217,"발포제,사카린,OPTSA,베나졸,TCA 제조"
A001620,동국실업,자동차부품,19900915,"자동차부품(에어닥트,글로벌박스,노즐,어셈블리류,핸들류) 제조,판매/공장 임대"
A001630,종근당홀딩스,제약,19760630,"의약품(항생제,위궤양치료제,장기이식면역억제제,고지혈증치료제(로바이드)) 제조,도매"
A001680,대상,식품,19700401,"전분,라이신,물엿,과당,포도당,MSG및 사료,조미료,항생제,핵산,커피 제조,도매/토목공사,건축공사"
A001720,신영증권,증권,19870824,증권업
A001740,SK네트웍스,복합기업,19770630,"종합무역업(전자전기제품,섬유,에너지화학제품,철강금속제품),의류,수입산합판,MDF판매,정보통신사업,에너지유통사업"
A001750,한양증권,증권,19880304,증권업
A001770,신화실업,철강,19881123,"석도강판,표면처리강판 제조,임가공,판매"
A001780,알루코,비철금속,20070607,"알루미늄제품,샷시 제조"
A001790,대한제당,식품,19681227,"제당,가축용 배합사료,설탕,기능성감미료(자일로올리고당),외식산 제조,도소매/부동산 임대"
A001800,오리온,식품,19750627,"과자류(비스켓,파이,스낵,쵸코렛) 제조,도매"
A001810,무림SP,종이와목재,20000104,"아트지,CCP지"
A001820,삼화콘덴서,전기제품,19760626,콘덴서(축전기) 제조
A001840,이화공영,건설,19960701,도급공사
